Classifier,Training Data,Test Data,False Positive Rate,False Negative Rate,True Negative Rate,Negative Predictive Value,False Discovery Rate,True Positive Rate,Precision,Accuracy,F1 Score,F2 Score
K Nearest Neighbors,Durum,Complete,0.35714285714285715,0.1875,0.6428571428571429,0.75,0.2777777777777778,0.8125,0.7222222222222222,0.7333333333333333,0.7647058823529411,0.7926829268292683
K Nearest Neighbors,Durum,Test,0.16981132075471697,0.14285714285714285,0.8301886792452831,0.8301886792452831,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.8448275862068966,0.8571428571428571,0.8571428571428571
K Nearest Neighbors,Bread,Durum,0.0,0.4,1.0,0.6923076923076923,0.0,0.6,1.0,0.7894736842105263,0.7499999999999999,0.6521739130434783
K Nearest Neighbors,Bread,Bread,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.8620689655172415
K Nearest Neighbors,Bread,Complete,0.07142857142857142,0.125,0.9285714285714286,0.8666666666666667,0.06666666666666667,0.875,0.9333333333333333,0.9,0.9032258064516129,0.8860759493670888
K Nearest Neighbors,Bread,Test,0.09433962264150944,0.36507936507936506,0.9056603773584906,0.676056338028169,0.1111111111111111,0.6349206349206349,0.8888888888888888,0.7586206896551724,0.7407407407407407,0.6734006734006734
K Nearest Neighbors,Complete,Durum,0.1111111111111111,0.0,0.8888888888888888,1.0,0.09090909090909091,1.0,0.9090909090909091,0.9473684210526315,0.9523809523809523,0.980392156862745
K Nearest Neighbors,Complete,Bread,0.2,0.0,0.8,1.0,0.14285714285714285,1.0,0.8571428571428571,0.9090909090909091,0.923076923076923,0.9677419354838709
K Nearest Neighbors,Complete,Complete,0.21428571428571427,0.0625,0.7857142857142857,0.9166666666666666,0.16666666666666666,0.9375,0.8333333333333334,0.8666666666666667,0.8823529411764706,0.9146341463414633
K Nearest Neighbors,Complete,Test,0.11320754716981132,0.09523809523809523,0.8867924528301887,0.8867924528301887,0.09523809523809523,0.9047619047619048,0.9047619047619048,0.896551724137931,0.9047619047619048,0.9047619047619048
Random Forest,Durum,Durum,0.1111111111111111,0.0,0.8888888888888888,1.0,0.09090909090909091,1.0,0.9090909090909091,0.9473684210526315,0.9523809523809523,0.980392156862745
Random Forest,Durum,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Durum,Complete,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Durum,Test,0.03773584905660377,0.031746031746031744,0.9622641509433962,0.9622641509433962,0.031746031746031744,0.9682539682539683,0.9682539682539683,0.9655172413793104,0.9682539682539683,0.9682539682539684
Random Forest,Bread,Durum,0.1111111111111111,0.2,0.8888888888888888,0.8,0.1111111111111111,0.8,0.8888888888888888,0.8421052631578947,0.8421052631578948,0.816326530612245
Random Forest,Bread,Bread,0.0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.8620689655172415
Random Forest,Bread,Complete,0.07142857142857142,0.25,0.9285714285714286,0.7647058823529411,0.07692307692307693,0.75,0.9230769230769231,0.8333333333333334,0.8275862068965517,0.7792207792207793
Random Forest,Bread,Test,0.018867924528301886,0.30158730158730157,0.9811320754716981,0.7323943661971831,0.022222222222222223,0.6984126984126984,0.9777777777777777,0.8275862068965517,0.8148148148148148,0.7407407407407407
Random Forest,Complete,Durum,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Complete,Bread,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Complete,Complete,0.07142857142857142,0.0,0.9285714285714286,1.0,0.058823529411764705,1.0,0.9411764705882353,0.9666666666666667,0.9696969696969697,0.9876543209876544
Random Forest,Complete,Test,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
